company_id,type,rule_id,text,confidence_pct
ABB,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
ABB,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,85.0
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
ADANIENSOL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,74.0
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
ADANIENT,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,85.0
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,74.0
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
ADANIGREEN,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
ADANIPORTS,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
ADANIPORTS,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
ADANIPOWER,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
